judul,kategori,date,source
Ello Tergiur Investasi Bodong MeMiles karena Dijanjikan Hadiah,Seleb,"15/01/2020, 21:01 WIB",kompas.com
Temen Kondangan Bikin Reza Nangin Teringat Pernikahannya,Film,"15/01/2020, 20:50 WIB",kompas.com
"Siap-siap, Java Jazz Festival 2020 Akan Kembali Digelar",Musik,"15/01/2020, 19:52 WIB",kompas.com
"Nama Ello Terseret Investasi Bodong MeMiles, Begini Mulanya ",Seleb,"15/01/2020, 19:47 WIB",kompas.com
"Via Vallen: Eh Iya Lho, Aku Pernah Tuh Main Tinder...",Seleb,"15/01/2020, 19:26 WIB",kompas.com
Dewa 19 Jalani Tur Perdana Pascakebebasan Ahmad Dhani,Musik,"15/01/2020, 19:15 WIB",kompas.com
"Foto Kebanjiran Viral, Yuni Shara: Itu Habis Mandi, Belum Nyisir",Seleb,"15/01/2020, 19:12 WIB",kompas.com
"Tak Pernah Ditagih Rp 12 Juta, Eza Gionino Kaget Dilaporkan Penjual Ikan Arwana",Seleb,"14/01/2020, 22:44 WIB",kompas.com
"Layangkan Somasi, Eza Gionino Minta Uang DP Ikan Arwana Rp 1,4 Juta Dikembalikan",Seleb,"14/01/2020, 22:32 WIB",kompas.com
Addie MS: Kevin Aprilio Pernah Jualan Nasi Uduk hingga Penyewa Topi,Seleb,"14/01/2020, 22:14 WIB",kompas.com
"Mangkir Mediasi Gugatan Rp 14,3 Miliar, Ashanty Disindir",Seleb,"14/01/2020, 21:30 WIB",kompas.com
Cerita Ruben Onsu soal Anak-anaknya yang Tak Kecanduan Gawai,Seleb,"14/01/2020, 21:29 WIB",kompas.com
Via Vallen Kesal Dijodoh-jodohkan oleh Keluarganya,Seleb,"14/01/2020, 21:15 WIB",kompas.com
Pemeran Munaroh Isyaratkan Mandra Bakal Bahagia di Film Akhir Kisah Cinta Si Doel,Film,"14/01/2020, 21:10 WIB",kompas.com
"Sidang Gugatan Rp 14,3 M terhadap Ashanty Dilanjutkan dengan E-Court",Seleb,"14/01/2020, 20:53 WIB",kompas.com
"Setelah Jefri Nichol, Kiky Saputri Deg-degan Dikecup Boy William",Seleb,"10/01/2020, 21:05 WIB",kompas.com
Efek Rumah Kaca hingga Didi Kempot Bakal Meriahkan BBFest 2020,Musik,"10/01/2020, 20:48 WIB",kompas.com
